rel_time,coef,se,ci_low,ci_high
-12,-0.1263405433252774,0.013515244861670125,-0.15283042325415083,-0.09985066339640394
-11,-0.08398295335990719,0.019679616657244856,-0.1225550020081071,-0.04541090471170727
-10,-0.0808179606404601,0.015476174146347183,-0.11115126196730057,-0.05048465931361962
-9,-0.05012469859135402,0.01235148774962884,-0.07433361458062654,-0.02591578260208149
-8,-0.039718891319527605,0.011546337170777271,-0.06234971217425106,-0.017088070464804154
-7,-0.03133460274601856,0.01136282207955728,-0.05360573402195083,-0.009063471470086293
-6,-0.03492753130276166,0.017072006902060392,-0.06838866483080003,-0.0014663977747232937
-5,-0.05193364109612011,0.015247241535028292,-0.08181823450477556,-0.022049047687464653
-4,-0.026222188787143608,0.009568349874911161,-0.04497615454196949,-0.007468223032317731
-3,-0.021482301425829856,0.017345831916219176,-0.05548013198161944,0.012515529129959731
-2,-0.004478433875341248,0.013939136666814698,-0.03179914174229806,0.02284227399161556
0,0.029285432738547945,0.0137165249614508,0.002401043814104376,0.05616982166299152
1,0.05865332732186744,0.01624878975688226,0.026805699398378208,0.09050095524535667
2,0.07909226974690886,0.011067993956112892,0.057399001592927594,0.10078553790089012
3,0.10861569350531841,0.013101764473120916,0.08293623513800141,0.1342951518726354
4,0.11503809365408002,0.01432989002010747,0.08695150921466938,0.14312467809349066
5,0.12935996793126275,0.013890715624413033,0.1021341653074132,0.1565857705551123
6,0.1171167150418086,0.013552952956078172,0.09055292724789538,0.1436805028357218
7,0.12356639256619727,0.014003140724663092,0.09612023674585761,0.15101254838653694
8,0.12945196156262584,0.015943834111524044,0.09820204670403872,0.16070187642121297
9,0.14232433079946055,0.015422879237451488,0.11209548749405564,0.17255317410486548
10,0.1406795823190803,0.013405433405038218,0.11440493284520538,0.16695423179295518
11,0.15457820649354523,0.01292417451422237,0.12924682444566937,0.17990958854142108
12,0.3441001001056689,0.025144373022779328,0.2948171289810214,0.39338307123031635
